,day,CS1,CS2,CS3,CS3sb,CS4,CS5,AS1,AS2,LID1,LID2
0,0.5,-0.25863751769065857,-0.6944343447685242,6.007805824279785,0.5776956677436829,-4.667910575866699,-0.2322927862405777,31.53144073486328,37.802066802978516,0.10958950221538544,0.5392670631408691
1,1.0,2.2160496711730957,1.6104178428649902,32.89161682128906,7.967830657958984,-28.614452362060547,1.342995285987854,205.03363037109375,241.80935668945312,1.3414809703826904,1.890903115272522
2,1.5,5.844876766204834,5.327241897583008,79.05583190917969,42.62294006347656,-75.96650695800781,6.035407066345215,476.0559997558594,585.4427490234375,4.365989685058594,3.0622689723968506
3,2.0,9.477028846740723,13.523983001708984,142.30624389648438,128.2415313720703,-153.64208984375,11.056073188781738,716.85888671875,940.8400268554688,6.793663501739502,4.8018975257873535
4,2.5,14.708709716796875,37.445526123046875,201.13601684570312,200.54397583007812,-234.82583618164062,16.29525375366211,909.46533203125,1219.01904296875,4.539483070373535,8.318580627441406
5,3.0,19.45745849609375,49.958988189697266,152.72848510742188,206.3912353515625,-215.61160278320312,21.824993133544922,956.588134765625,1214.890380859375,0.18959841132164001,5.94610595703125
6,3.5,18.783418655395508,18.844985961914062,113.85891723632812,199.38912963867188,-143.34683227539062,20.634307861328125,881.28857421875,1056.7559814453125,-1.7312684059143066,3.5735702514648438
7,4.0,11.377543449401855,3.105433225631714,125.95185089111328,201.99298095703125,-99.58309936523438,12.667656898498535,802.012939453125,936.982666015625,-1.0847644805908203,2.9373838901519775
8,4.5,3.6572322845458984,29.340633392333984,101.97555541992188,172.16043090820312,-87.57737731933594,4.915567398071289,768.6033935546875,873.232666015625,-0.8063830137252808,2.116018295288086
9,5.0,6.46432638168335,37.11548614501953,72.27362060546875,124.94339752197266,-78.23521423339844,1.9629623889923096,760.0406494140625,830.3983154296875,-0.7464284300804138,1.2888908386230469
10,5.5,11.337924003601074,17.285032272338867,64.06449890136719,106.84282684326172,-69.14128112792969,4.166525363922119,740.786865234375,795.9266357421875,-0.396097868680954,0.9399095773696899
11,6.0,12.228025436401367,1.232176423072815,61.821327209472656,107.40768432617188,-60.81863021850586,6.021512031555176,720.7909545898438,773.976318359375,-0.2583584189414978,0.7353332042694092
12,6.5,8.171062469482422,4.603113174438477,58.149810791015625,100.72142028808594,-53.696693420410156,7.760614395141602,715.3077392578125,760.8602294921875,-0.2791050672531128,0.5145323276519775
13,7.0,3.5040159225463867,15.254916191101074,55.08185958862305,93.81965637207031,-51.363182067871094,6.257218837738037,716.222412109375,755.686279296875,-0.18212687969207764,0.3915102779865265
14,7.5,2.6368539333343506,19.806135177612305,54.189720153808594,93.89862060546875,-53.8953971862793,2.6036972999572754,716.9314575195312,758.3828125,-0.052493009716272354,0.4295364320278168
15,8.0,5.114095211029053,18.80048370361328,53.25025177001953,97.74043273925781,-59.859344482421875,0.6699033975601196,716.9177856445312,764.838623046875,0.04246151074767113,0.4931469261646271
16,8.5,7.173932075500488,18.322065353393555,49.915794372558594,98.29423522949219,-64.71516418457031,0.6579087972640991,718.7557373046875,770.9383544921875,0.07281171530485153,0.47139352560043335
17,9.0,7.592237949371338,18.762664794921875,46.4888916015625,93.8106689453125,-65.4640884399414,1.2310296297073364,723.2149658203125,773.989990234375,0.07444503903388977,0.40793633460998535
